  ,Class,Confidence,X,Y,Width,Height
15-09-2025 18:25,LDPE,0.722426474,82,610,114,156
15-09-2025 18:25,LDPE,0.847361505,115,444,150,168
15-09-2025 18:25,LDPE,0.777724206,80,636,111,117
15-09-2025 18:25,LDPE,0.776184857,476,653,239,133
15-09-2025 18:25,LDPE,0.747103274,643,570,141,95
15-09-2025 18:25,LDPE,0.640277565,653,253,274,134
15-09-2025 18:25,LDPE,0.822702408,447,656,194,128
15-09-2025 18:25,LDPE,0.714375913,104,299,167,180
15-09-2025 18:25,LDPE,0.690158308,599,669,126,101
15-09-2025 18:25,LDPE,0.576392055,82,638,114,114
15-09-2025 18:25,LDPE,0.410260975,1051,217,38,50
15-09-2025 18:25,LDPE,0.885341585,82,633,115,110
15-09-2025 18:25,LDPE,0.884387672,612,496,94,92
15-09-2025 18:25,LDPE,0.739210904,97,308,186,212
15-09-2025 18:25,LDPE,0.534461021,402,654,231,132
15-09-2025 18:25,LDPE,0.50586009,1051,214,38,47
15-09-2025 18:25,LDPE,0.444818854,775,443,51,105
15-09-2025 18:25,LDPE,0.773476958,1051,215,39,46
15-09-2025 18:25,LDPE,0.749017239,97,304,184,210
15-09-2025 18:25,LDPE,0.728323758,407,655,232,129
15-09-2025 18:25,LDPE,0.692504525,845,634,292,170
15-09-2025 18:25,PS,0.636716127,617,513,99,88
15-09-2025 18:25,LDPE,0.574300468,694,442,139,91
15-09-2025 18:25,LDPE,0.573125303,82,603,130,184
15-09-2025 18:25,LDPE,0.808377743,616,529,99,89
15-09-2025 18:25,LDPE,0.776865959,405,656,229,128
15-09-2025 18:25,LDPE,0.70747304,97,303,186,209
15-09-2025 18:25,LDPE,0.692188025,1051,213,37,47
15-09-2025 18:25,LDPE,0.453190863,73,614,132,197
15-09-2025 18:25,LDPE,0.410309732,768,441,43,104
15-09-2025 18:25,LDPE,0.757748365,109,293,159,179
15-09-2025 18:25,LDPE,0.703002453,408,660,232,119
15-09-2025 18:25,LDPE,0.631483555,1052,215,38,50
15-09-2025 18:25,LDPE,0.509542406,82,633,125,163
15-09-2025 18:25,PS,0.836057186,605,588,88,84
15-09-2025 18:25,LDPE,0.770206392,98,292,183,177
15-09-2025 18:25,LDPE,0.745923102,82,644,113,111
15-09-2025 18:25,LDPE,0.700235665,1051,214,37,47
15-09-2025 18:25,LDPE,0.457482755,402,659,226,120
15-09-2025 18:25,LDPE,0.812889576,81,654,116,127
15-09-2025 18:25,PS,0.749229312,630,589,94,77
15-09-2025 18:25,LDPE,0.692831278,95,296,180,183
15-09-2025 18:25,LDPE,0.639620662,1051,216,37,48
15-09-2025 18:25,LDPE,0.474083185,117,437,138,177
15-09-2025 18:25,LDPE,0.443242311,427,655,247,130
15-09-2025 18:25,LDPE,0.759902239,422,661,194,117
15-09-2025 18:25,LDPE,0.717149556,100,294,166,175
15-09-2025 18:25,LDPE,0.622408271,600,682,138,76
15-09-2025 18:25,LDPE,0.617194772,80,646,113,97
15-09-2025 18:25,LDPE,0.483833909,1052,217,38,50
15-09-2025 18:25,LDPE,0.668882191,434,658,230,121
15-09-2025 18:25,LDPE,0.660869598,105,295,158,173
15-09-2025 18:25,LDPE,0.518242359,81,618,118,149
15-09-2025 18:25,LDPE,0.430989325,1052,217,38,49
15-09-2025 18:25,LDPE,0.425610721,596,686,147,67
15-09-2025 18:25,LDPE,0.83506608,430,665,215,110
15-09-2025 18:25,LDPE,0.736899436,84,644,108,85
15-09-2025 18:25,LDPE,0.711701572,117,304,139,174
15-09-2025 18:25,LDPE,0.610979259,113,460,154,203
16-09-2025 09:46,LDPE,0.521146417,469,450,91,55
16-09-2025 09:46,LDPE,0.625595808,615,438,50,34
16-09-2025 09:46,LDPE,0.4468714,471,449,83,58
16-09-2025 09:48,LDPE,0.512913465,606,434,65,89
16-09-2025 09:59,LDPE,0.665928781,86,431,171,97
16-09-2025 10:07,LDPE,0.509555221,59,113,118,35
16-09-2025 10:10,LDPE,0.524392664,366,328,71,25
16-09-2025 10:10,LDPE,0.487976491,328,329,176,62
16-09-2025 10:10,LDPE,0.664608538,59,298,57,38
16-09-2025 10:10,LDPE,0.529857337,47,326,94,101
16-09-2025 10:10,LDPE,0.460368514,27,8,55,17
16-09-2025 10:10,LDPE,0.867255807,297,324,38,20
16-09-2025 10:11,LDPE,0.415719151,296,277,44,20
16-09-2025 10:11,LDPE,0.778934538,78,57,155,108
16-09-2025 10:11,LDPE,0.8794958,85,47,168,79
16-09-2025 10:11,LDPE,0.754396975,101,52,203,102
16-09-2025 10:11,LDPE,0.513098836,615,474,50,12
16-09-2025 10:11,LDPE,0.73027122,94,46,188,93
16-09-2025 10:11,LDPE,0.730769932,79,28,157,56
16-09-2025 10:11,LDPE,0.617145658,95,43,191,80
16-09-2025 10:11,LDPE,0.754507959,72,30,144,61
16-09-2025 10:11,LDPE,0.694592834,97,54,194,98
16-09-2025 10:11,LDPE,0.570789099,74,40,149,78
16-09-2025 10:12,LDPE,0.514875531,104,53,208,104
16-09-2025 10:12,LDPE,0.665904462,99,59,199,109
16-09-2025 10:12,LDPE,0.714508533,111,86,222,131
16-09-2025 10:12,LDPE,0.682253897,587,197,105,57
16-09-2025 10:12,LDPE,0.541517019,43,117,86,83
16-09-2025 10:12,LDPE,0.452218056,581,153,118,36
16-09-2025 10:12,LDPE,0.76316762,80,81,158,136
16-09-2025 10:12,LDPE,0.637757301,167,25,40,50
16-09-2025 10:12,LDPE,0.610749602,39,36,77,32
16-09-2025 10:12,LDPE,0.489617765,91,28,181,56
16-09-2025 10:12,LDPE,0.418707967,101,59,202,118
16-09-2025 10:12,LDPE,0.765603304,96,65,192,117
16-09-2025 10:12,LDPE,0.762979746,30,97,61,88
16-09-2025 10:12,LDPE,0.522604048,595,19,89,39
16-09-2025 10:12,LDPE,0.442233264,279,272,59,30
16-09-2025 10:13,LDPE,0.809384525,450,381,160,83
16-09-2025 10:13,LDPE,0.532581508,422,459,172,42
16-09-2025 10:13,LDPE,0.719633639,54,287,108,39
16-09-2025 10:13,LDPE,0.628049672,267,59,124,52
16-09-2025 10:13,LDPE,0.566101909,49,61,99,82
16-09-2025 10:13,LDPE,0.542392671,451,73,175,93
16-09-2025 10:13,LDPE,0.736236393,157,57,67,26
16-09-2025 10:13,LDPE,0.681332886,159,23,127,40
16-09-2025 10:13,LDPE,0.583390892,142,110,103,32
16-09-2025 10:13,LDPE,0.750745058,36,28,72,38
16-09-2025 10:13,LDPE,0.657447159,136,27,133,55
16-09-2025 10:13,LDPE,0.617675781,48,57,97,32
16-09-2025 10:13,LDPE,0.780185103,78,109,97,90
16-09-2025 10:13,LDPE,0.516201496,222,29,41,58
16-09-2025 10:13,LDPE,0.499495983,43,162,84,38
16-09-2025 10:13,LDPE,0.469394028,57,34,115,69
16-09-2025 10:14,LDPE,0.583000481,256,20,104,41
16-09-2025 10:14,LDPE,0.740078807,237,20,38,41
16-09-2025 10:14,LDPE,0.590199471,81,92,162,113
16-09-2025 10:14,LDPE,0.585792065,88,108,177,123
