Timestamp,Class,Confidence,X,Y,Width,Height,ParticleSize_�m
2025-10-07 10:37:49,LDPE,0.7679948210716248,1013,693,194,54,204.7
2025-10-07 10:37:49,LDPE,0.5906677842140198,38,363,77,78,155.0
2025-10-07 10:37:49,HDPE,0.5151245594024658,1119,628,202,110,298.13
2025-10-07 10:37:49,PS_count,2,,,,,
2025-10-07 10:37:49,LDPE_count,2,,,,,
2025-10-07 10:37:49,HDPE_count,1,,,,,
2025-10-07 10:37:53,PS,0.9076009392738342,593,652,146,96,236.78
2025-10-07 10:37:53,PS,0.797360897064209,689,680,128,79,201.12
2025-10-07 10:37:53,LDPE,0.7882412672042847,38,362,76,81,156.92
2025-10-07 10:37:53,LDPE,0.7429766654968262,1011,692,189,56,205.76
2025-10-07 10:37:53,HDPE,0.6795405745506287,1121,624,204,116,307.66
2025-10-07 10:37:53,LDPE,0.6769580245018005,101,427,62,63,125.0
2025-10-07 10:37:53,PS_count,2,,,,,
2025-10-07 10:37:53,LDPE_count,3,,,,,
2025-10-07 10:37:53,HDPE_count,1,,,,,
2025-10-07 10:37:58,PS,0.9046666026115417,469,687,86,66,150.68
2025-10-07 10:37:58,PS,0.8076257109642029,966,645,142,134,275.88
2025-10-07 10:37:58,PS,0.5280250906944275,646,637,87,137,218.35
2025-10-07 10:37:58,PS_count,3,,,,,
2025-10-07 10:40:16,LDPE,0.8104241490364075,63,49,126,98,222.24
2025-10-07 10:40:16,LDPE,0.7262070775032043,42,394,85,40,116.62
2025-10-07 10:40:16,LDPE,0.6924322843551636,597,57,85,105,188.94
2025-10-07 10:40:16,PETE,0.5986052751541138,42,394,85,39,115.15
2025-10-07 10:40:16,LDPE_count,3,,,,,
2025-10-07 10:40:16,PETE_count,1,,,,,
2025-10-07 10:40:20,LDPE,0.762248158454895,67,52,132,104,234.33
2025-10-07 10:40:20,LDPE,0.6802924871444702,53,443,107,72,175.54
2025-10-07 10:40:20,LDPE_count,2,,,,,
2025-10-07 10:40:24,LDPE,0.8874284029006958,64,56,126,112,237.59
2025-10-07 10:40:24,LDPE,0.798080325126648,594,59,92,114,204.82
2025-10-07 10:40:24,PS,0.5204112529754639,593,63,91,110,200.1
2025-10-07 10:40:24,LDPE_count,2,,,,,
